name,link,price,add_info
CYCPLUS G1 Drahtloser GPS Fahrradcomputer Kilometerzahler Geschwindigkeitsmesser,https://www.ebay.com/itm/385923083280?itmmeta=01HVA0F6AXMWCQRABK2XER6P5P&hash=item59daceec10:g:PkwAAOSwU8Rk0goT&var=653589449082,"1936,20 руб.",183 продано
TAHUNA FIX abgewinkelte Fahrradhalterung f. TEASI One/One2/One3/One4/Pro/Classic,https://www.ebay.com/p/2225644328?iid=324523927211&rt=nc,"498,28 руб.",828 продано
Компьютер велосипедный/велосипедный Wahoo ELEMNT ROAM GPS - A105B,https://www.ebay.com/itm/325883880443?itmmeta=01HVA0F6AXT3TW3ZCAYYS6XQA7&hash=item4be03163fb:g:130AAOSwyXdlEtCw,"7902,95 руб.",13 продано
Micro USB auf 3.1 Typ C gewinkelt Kabel 30cm Ladekabel fur Bosch Intuvia eBike,https://www.ebay.com/p/15036183671?iid=153888479669&rt=nc,"879,73 руб.",3 276 продано
"GPS-компьютер для велосипеда Hammerhead Karoo 2 с креплением, адаптером и ремешком",https://www.ebay.com/itm/256225729035?itmmeta=01HVA0F6AX34SKJPB1CAHM41RM&hash=item3ba83e5a0b:g:SNsAAOSw8MBlCk4e,"24316,15 руб.",40 продано
smartLAB bike3 Fahrrad Computer kabellos mit 16 Funktionen als Tachometer,https://www.ebay.com/p/16051803894?iid=144225801153&rt=nc,"1885,27 руб.",209 продано
Проводной велосипед велосипед компьютер LCD спидометр одометр Speedo водонепроницаемый USN,https://www.ebay.com/itm/386731055625?itmmeta=01HVA0F6AX2VNSVCFQ2KYW77YG&hash=item5a0af79a09:g:ltAAAOSwXJRiu8Ac,"496,22 руб.",
"GPS-Montagehalterung, fur Garmin Baureihe Edge und GoPro",https://www.ebay.com/p/23056088123?iid=185143088581&rt=nc,"947,63 руб.",1 222 продано
IGPSPORT BSC300 GPS велосипед компьютер водонепроницаемый IGS беспроводной измеритель скорости/датчик.,https://www.ebay.com/itm/386111548018?itmmeta=01HVA0F6AX6K6KGT0GR5ERZGBH&hash=item59e60aaa72:g:YAMAAOSwf8xlScf0&var=653658288253,"11244,29 руб.  до  12078,16 руб.",Отслеживающих: 7
Garmin QuickFit Велосипедное Крепление на Четверть Поворота Часы Garmin Быстросъемное Крепление ,https://www.ebay.com/itm/126288261816?itmmeta=01HVA0F6AX7H4DQDQ5J9HD799E&hash=item1d675df2b8:g:n9gAAOSwODdlqRSV&var=427321827388,"1119,30 руб.",31 продано
Крепление сиденья Garmin Varia для седла Specialized/S-Works SWAT,https://www.ebay.com/itm/204714827829?itmmeta=01HVA0F6AX373FM9TAA35EGKEN&hash=item2fa9f46035:g:GDoAAOSwC9xk5Mgg,"2798,25 руб.",
Blinker LED Fahrrad Bremse Rucklicht Halterung fur 372 Blinkleuchte,https://www.ebay.com/itm/155944902168?itmmeta=01HVA0F6AX757YN70MEX7ABJ83&hash=item244f0a5e18:g:1DYAAOSwwP1ld~tZ,"582,16 руб.",
CYCPLUS M1 GPS-Fahrradcomputer ANT+ Bluetooth Drahtlos-Geschwindigkeitssensor,https://www.ebay.com/itm/385986801874?itmmeta=01HVA0F6AYMNK9SQC2EHY6VGAM&hash=item59de9b30d2:g:40kAAOSwz3Vk3sTG&var=653611344375,"3771,54 руб.",30 продано
6X GPS Tracking-Sticker | Alarm Aufkleber | Anti-Diebstahl Warnaufkleber *****,https://www.ebay.com/itm/153579367925?itmmeta=01HVA0F6AYMAZEXSJ2TCYBEK87&hash=item23c20b2df5:g:wWYAAOSwaL5e9dOx&amdata=enc%3AAQAJAAAA4LyRXdIIcl3dkH0kMTw40PvL9goUmfXGnONrLev1CidA6eyy9lK6GL2n2rYFm6VZ0D1c0HuSdaX95%2FfPJhXWl5X%2BUxODqcmjyJhHGLP%2F3slVMoMEDWNMnp54m%2B6yqjtibuwbgdqtLGTT1EUcHIk5rsiBUiynAWTShGxbBLx5jrLflySF0E5%2B12sNacSBYAHlRHne1eDf%2FMuOclBViEC1elvivBLB3aWNrfSuLp8AX%2Fu7a0W%2B%2BBkJZi32pr8gGRJUSunr4z3j5ZKmzjcyUjOU94iSF05t3QizN2kf0COvpmav%7Ctkp%3ABFBMyOW8wNpj,"398,42 руб.",433 продано
Smarter Geschwindigkeits- / Trittfrequenz Sensor smartLAB cadspeed mit ANT+ & Bl,https://www.ebay.com/itm/145563225008?itmmeta=01HVA0F6AYK4NVHX4AKFHRX2QR&hash=item21e43e8bb0:g:AbAAAOSwbRFl3t-d&amdata=enc%3AAQAJAAAA4AyQ6HKhLRf2UciQnyV97lVf8WRLX2O8QqqceEAF9FU4juuusbABo7bntyv2br0rY2UQK4PBRkc3c23fMfNyNaw8dGd2LTJvOublbH5lx%2FayHkw%2BfrQCBepbLVR0zw1musxQGy5W2i8voKl6Not%2B1hsvcnXDM8H8oF%2BdoF6aIjKjgU7t%2FFY8liUVN3aBhsoAlvofVDhAs3FHH2E9Z1pO5EJciOAoy7NR1W37egMmmXIQVWzJgVtWkiVSHx0QjWEtDSzxSi%2BtETkR76f7cWmvj%2FmcZjrDXcUjjoi5L28Vr9rg%7Ctkp%3ABFBMyOW8wNpj,"2319,64 руб.",Осталось 2 тов.
Велосипед камеры держатель адаптер для велосипеда компьютера Gopro велосипед для Garmin новый,https://www.ebay.com/itm/225908881147?itmmeta=01HVA0F6AYFTDF0N08VPNCQWP5&hash=item349937f6fb:g:~kYAAOSwSdplc93I&amdata=enc%3AAQAJAAAA0D5PXybyX9HLl%2BzGaSlGMGWnVoJlIzs6M96tL1T%2BYDVfapfTX2eVuoeYiMvmy8SZQq9j%2B9t0q5%2FVFQQbN6AFxPA%2BKtO8IvqoKFoGxt5u3081CYooEE3ZhTF6m%2BZ3bge8JUHY3L%2BHoBR06CoQcGN1HWfVb7dYlsfHPivELWWmHSVgPI5vxPLdXfa9n5FHQCSeVsQG1CJN0jItf6kI1el5UJSWdaPd799LyW5XTWSjAmVBdnfFQczDRCP0oTxLRfsa00%2FQ4Ul--SbXEYWSQX%2FCcSY%3D%7Ctkp%3ABFBMyOW8wNpj&var=524998214118,"720,08 руб.  до  746,20 руб.",
XOSS G2 GPS Fahrradcomputer G+Wireless Speedometer Tracker Waterproof Odometer,https://www.ebay.com/itm/386111548024?itmmeta=01HVA0F6AYYYA5QA4HR1K450W2&hash=item59e60aaa78:g:MdsAAOSwv3xk1Kbf&var=653658098024,"2636,18 руб.  до  7561,05 руб.",Отслеживающих: 4
Moofit CS8 Велоспорт В комплекте 1x Cadence 1x Скорость Bluetooth и ANT+ Беспроводной.,https://www.ebay.com/itm/226066404192?itmmeta=01HVA0F6AY08J2H2754RMRNJT2&hash=item34a29b9360:g:xZsAAOSwr4hmBSll,"1629,02 руб.",
Велосипедный компьютер Hammerhead Karoo 2 GPS,https://www.ebay.com/itm/226078821106?itmmeta=01HVA0F6AYNK00FYYACVN319AX&hash=item34a3590af2:g:Mi0AAOSwbxtmCcB4,"13991,23 руб.",
CYCPLUS G1 беспроводной GPS велосипед компьютер одометр спидометр велосипед аксессуары,https://www.ebay.com/itm/385842151323?itmmeta=01HVA0F6AY6RM19621TZ27RZXM&hash=item59d5fbff9b:g:bZMAAOSwxTxkwjST&var=653559962769,"2252,60 руб.",90 продано
Garmin Edge 510,https://www.ebay.com/itm/135016022964?itmmeta=01HVA0F6AYH5WR3SC05AP4CD47&hash=item1f6f9503b4:g:XWQAAOSwlkhmGZkK,"466,37 руб.",
MTB Rennrad Fahrrad Computer kabelgebunden NEU Kilometerzahler NEU K1K4,https://www.ebay.com/itm/144991189050?itmmeta=01HVA0F6AYGJ5XJS60V1JE6XFP&hash=item21c225f83a:g:d4YAAOSwj1Vjd0Vj,"650,06 руб.",36 продано
NEW Drahtloser Fahrrad-Fahrradcomputer LCD-Tachometer-Kilometerzahler,https://www.ebay.com/itm/315234719570?itmmeta=01HVA0F6AYJ1N279DJYHN45TJ5&hash=item4965741752:g:LuUAAOSwEJhl-UYv,"470,32 руб.",
